date,Open,High,Low,Close,RD,Volumn
113/01/02,590.0,593.0,589.0,593.0,0.0,20667
113/01/03,584.0,585.0,576.0,578.0,-15.0,56916
113/01/04,580.0,581.0,577.0,580.0,2.0,15010
113/01/05,578.0,580.0,574.0,576.0,-4.0,28660
113/01/08,582.0,585.0,579.0,583.0,7.0,19950
113/01/09,588.0,589.0,583.0,586.0,3.0,23975
113/01/10,581.0,586.0,580.0,584.0,-2.0,16104
113/01/11,586.0,589.0,583.0,586.0,2.0,20754
113/01/12,581.0,588.0,581.0,584.0,-2.0,15765
113/01/15,590.0,590.0,585.0,586.0,2.0,21886
113/01/16,581.0,588.0,579.0,580.0,-6.0,21938
113/01/17,583.0,584.0,578.0,581.0,1.0,28790
113/01/18,586.0,589.0,585.0,588.0,7.0,28621
113/01/19,625.0,627.0,614.0,626.0,38.0,207364
113/01/22,633.0,633.0,623.0,626.0,0.0,56376
113/01/23,629.0,629.0,622.0,628.0,2.0,34729
113/01/24,628.0,630.0,624.0,627.0,-1.0,27062
113/01/25,635.0,642.0,633.0,642.0,15.0,85006
113/01/26,644.0,646.0,639.0,644.0,2.0,41691
113/01/29,646.0,648.0,644.0,648.0,4.0,32347
113/01/30,642.0,647.0,642.0,642.0,-6.0,35002
113/01/31,634.0,637.0,626.0,628.0,-14.0,61811
113/02/01,625.0,628.0,619.0,628.0,0.0,51671
113/02/02,633.0,635.0,628.0,635.0,7.0,22257
113/02/05,645.0,647.0,638.0,646.0,11.0,51065
113/02/15,709.0,709.0,693.0,697.0,51.0,130374
113/02/16,697.0,699.0,683.0,683.0,-14.0,56882
113/02/19,674.0,682.0,674.0,678.0,-5.0,35240
113/02/20,675.0,688.0,675.0,687.0,9.0,32847
113/02/21,678.0,683.0,678.0,681.0,-6.0,36004
113/02/22,695.0,695.0,685.0,692.0,11.0,36998
113/02/23,701.0,703.0,696.0,697.0,5.0,48018
113/02/26,700.0,700.0,695.0,698.0,1.0,25850
113/02/27,700.0,701.0,691.0,698.0,0.0,31145
113/02/29,691.0,698.0,688.0,690.0,-8.0,39066
113/03/01,697.0,697.0,688.0,689.0,-1.0,26282
113/03/04,714.0,725.0,711.0,725.0,36.0,125799
113/03/05,735.0,738.0,728.0,730.0,5.0,69851
113/03/06,718.0,738.0,717.0,735.0,5.0,49897
113/03/07,755.0,769.0,754.0,760.0,25.0,96348
113/03/08,795.0,796.0,772.0,784.0,24.0,110758
113/03/11,768.0,778.0,761.0,766.0,-18.0,107368
113/03/12,757.0,771.0,754.0,770.0,4.0,56154
113/03/13,785.0,785.0,777.0,779.0,9.0,37744
113/03/14,779.0,785.0,770.0,784.0,5.0,35137
113/03/15,771.0,777.0,753.0,753.0,-31.0,95014
113/03/18,754.0,765.0,754.0,764.0,,40073
113/03/19,758.0,765.0,755.0,762.0,-2.0,31208
113/03/20,764.0,769.0,752.0,758.0,-4.0,46702
113/03/21,773.0,784.0,772.0,784.0,26.0,48467
113/03/22,788.0,789.0,775.0,785.0,1.0,33054
113/03/25,783.0,788.0,779.0,780.0,-5.0,24794
113/03/26,788.0,792.0,776.0,782.0,2.0,35046
113/03/27,785.0,785.0,779.0,779.0,-3.0,21006
113/03/28,774.0,776.0,768.0,769.0,-10.0,39848
113/03/29,769.0,781.0,768.0,779.0,10.0,18110
113/04/01,783.0,783.0,769.0,770.0,-9.0,28192
113/04/02,784.0,790.0,783.0,790.0,20.0,41138
113/04/03,783.0,785.0,778.0,780.0,-10.0,36003
113/04/08,789.0,792.0,783.0,783.0,3.0,29304
113/04/09,795.0,820.0,792.0,819.0,36.0,89138
113/04/10,815.0,819.0,810.0,815.0,-4.0,39131
113/04/11,811.0,820.0,811.0,820.0,5.0,34739
113/04/12,823.0,826.0,817.0,818.0,-2.0,38091
113/04/15,804.0,812.0,803.0,806.0,-12.0,60451
113/04/16,802.0,803.0,785.0,788.0,-18.0,127956
113/04/17,798.0,808.0,793.0,804.0,16.0,43890
113/04/18,796.0,810.0,792.0,804.0,0.0,46571
113/04/19,769.0,770.0,746.0,750.0,-54.0,356590
113/04/22,740.0,757.0,740.0,742.0,-8.0,103120
113/04/23,761.0,761.0,752.0,754.0,12.0,34807
113/04/24,770.0,785.0,769.0,783.0,29.0,58442
113/04/25,770.0,774.0,765.0,766.0,-17.0,64220
113/04/26,788.0,789.0,782.0,782.0,16.0,42824
113/04/29,790.0,795.0,787.0,795.0,13.0,35585
113/04/30,797.0,802.0,790.0,790.0,-5.0,40926
113/05/02,789.0,789.0,772.0,772.0,-18.0,85051
113/05/03,788.0,788.0,773.0,780.0,8.0,35153
113/05/06,791.0,793.0,786.0,786.0,6.0,32394
113/05/07,797.0,800.0,792.0,800.0,14.0,38340
113/05/08,794.0,802.0,792.0,802.0,2.0,23525
113/05/09,798.0,802.0,796.0,796.0,-6.0,23671
113/05/10,803.0,807.0,798.0,802.0,6.0,41029
113/05/13,823.0,825.0,818.0,819.0,17.0,49327
113/05/14,816.0,825.0,811.0,825.0,6.0,34685
113/05/15,838.0,844.0,837.0,839.0,14.0,57892
113/05/16,852.0,856.0,837.0,841.0,2.0,60617
113/05/17,848.0,848.0,834.0,835.0,-6.0,38718
113/05/20,834.0,838.0,822.0,835.0,0.0,43094
113/05/21,830.0,841.0,830.0,841.0,6.0,20770
113/05/22,845.0,865.0,843.0,864.0,23.0,63360
113/05/23,875.0,877.0,867.0,875.0,11.0,50325
113/05/24,858.0,872.0,858.0,867.0,-8.0,50611
113/05/27,872.0,878.0,866.0,869.0,2.0,42682
113/05/28,867.0,873.0,865.0,865.0,-4.0,37323
113/05/29,861.0,868.0,856.0,857.0,-8.0,67680
113/05/30,841.0,848.0,838.0,838.0,-19.0,110390
113/05/31,838.0,846.0,821.0,821.0,-17.0,102070
113/06/03,839.0,853.0,837.0,846.0,25.0,40694
113/06/04,844.0,851.0,837.0,839.0,-7.0,52392
113/06/05,841.0,857.0,835.0,854.0,15.0,41869
113/06/06,893.0,899.0,885.0,894.0,40.0,112332
113/06/07,885.0,888.0,879.0,879.0,-15.0,85990
113/06/11,892.0,895.0,883.0,883.0,4.0,47589
113/06/12,888.0,914.0,888.0,909.0,26.0,74526
113/06/13,923.0,935.0,911.0,919.0,,98777
113/06/14,916.0,922.0,905.0,922.0,3.0,62552
113/06/17,913.0,925.0,913.0,921.0,-1.0,44582
113/06/18,944.0,950.0,940.0,943.0,22.0,55791
113/06/19,953.0,984.0,953.0,981.0,38.0,117235
113/06/20,971.0,981.0,971.0,981.0,0.0,107978
113/06/21,961.0,978.0,960.0,970.0,-11.0,131503
113/06/24,958.0,960.0,940.0,940.0,-30.0,227255
113/06/25,925.0,945.0,923.0,945.0,5.0,103844
113/06/26,951.0,960.0,951.0,960.0,15.0,56563
113/06/27,951.0,961.0,949.0,960.0,0.0,41133
113/06/28,956.0,971.0,955.0,966.0,6.0,42853
113/07/01,968.0,977.0,965.0,968.0,2.0,38293
113/07/02,967.0,971.0,959.0,960.0,-8.0,38928
113/07/03,976.0,979.0,967.0,979.0,19.0,36096
